CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 25037
NOMBRE    : GUAMUCHIL (AARSP)
ESTADO    : SINALOA
MUNICIPIO : SALVADOR ALVARADO
SITUACI�N : OPERANDO
ORGANISMO : CAADES
CVE-OMM   : Nulo
LATITUD   : 025.469�
LONGITUD  : -108.092�
ALTITUD   : 44 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
17/11/2011  0      4.4    30.5   15.5 
18/11/2011  0      4.5    30.5   15.5 
19/11/2011  0      3.7    30     15 
20/11/2011  0      5.3    30     15.5 
21/11/2011  0      4.7    27     16.5 
22/11/2011  0      2.9    30.5   14.5 
23/11/2011  0      4.1    31     14 
24/11/2011  0      5.3    33     14 
25/11/2011  19.6   3.5    23.5   16.5 
26/11/2011  0      4.4    28     14 
27/11/2011  0      6.5    32     15.5 
28/11/2011  0      5.6    31     17 
29/11/2011  0      4.6    31     13 
30/11/2011  0      4.5    30.5   13 
01/12/2011  0      3.9    31     12.5 
02/12/2011  2.2    3.6    28.5   14.5 
03/12/2011  0      3      26     17.5 
04/12/2011  0      3.7    24     14 
05/12/2011  0      4.2    26     9 
06/12/2011  0      4.1    24     9 
07/12/2011  0      1.6    27     9.5 
08/12/2011  0      2.9    27     8.5 
09/12/2011  0      2.9    27     10 
10/12/2011  0      2.9    27     12 
11/12/2011  0      3.3    27     11.5 
12/12/2011  0      3      29.5   11 
13/12/2011  0      3.1    27     16 
14/12/2011  0      3.7    26.5   17 
15/12/2011  0      2.6    26     12 
16/12/2011  0      3.6    24.5   10.5 
17/12/2011  0      3.9    25     10 
18/12/2011  0      1.2    22     12.5 
19/12/2011  0      2.1    24     9 
20/12/2011  0      3.3    19     9 
21/12/2011  0      3.8    23     9 
22/12/2011  0      4.7    26     10 
23/12/2011  0      4.5    24     9 
24/12/2011  0      5      25.5   5 
25/12/2011  0      5.4    27     5 
26/12/2011  0      4.1    28     7 
27/12/2011  0      4.1    28     7 
28/12/2011  0      4.7    29     9 
29/12/2011  0      4.2    29.5   9 
30/12/2011  0      4.1    29.5   9.5 
31/12/2011  0      4.5    30     12 
01/01/2012  0      4.2    31     12 
02/01/2012  0      5.1    30     12 
03/01/2012  0      4.4    35     11.5 
04/01/2012  0      5.5    32.5   13 
05/01/2012  0      4.6    32     12.5 
06/01/2012  0      3.5    29     11.5 
07/01/2012  0      3.4    28     13 
08/01/2012  0      2.8    26.5   12 
09/01/2012  0      4.1    25     12 
10/01/2012  0      4.1    28     8.5 
11/01/2012  0      4.4    29     9 
12/01/2012  0      3      28.5   9 
13/01/2012  0      3.8    29.5   11 
14/01/2012  0      3.8    31     10 
15/01/2012  0      4.2    28.5   13 
16/01/2012  0      3      26     14.5 
17/01/2012  0      5.2    32.5   13 
18/01/2012  0      4.9    29.5   13 
19/01/2012  0      2.1    28.5   11 
20/01/2012  0      3.3    28.5   12 
21/01/2012  0      2.6    23     12 
22/01/2012  0      1.3    27     12 
23/01/2012  0      4.8    30     12 
24/01/2012  0      3.4    26.5   10.5 
25/01/2012  0      3.9    27     9 
26/01/2012  0      6.2    31.5   9 
27/01/2012  0      6.6    30     12 
28/01/2012  0      5.9    29     11 
29/01/2012  0      5.6    29     12 
30/01/2012  0      5.5    31     12 
31/01/2012  0      6.1    33     12.5 
01/02/2012  0      6.4    31.5   13 
02/02/2012  0      5.9    32     11.5 
03/02/2012  0      4.1    26     11 
04/02/2012  0      4.3    26     11 
05/02/2012  0      5.5    29.5   10.5 
06/02/2012  0      4.4    30     9.5 
07/02/2012  0      6.9    32     10 
08/02/2012  0      5.3    23     12 
09/02/2012  0      5.8    29     16 
10/02/2012  0      5.9    31     11.5 
11/02/2012  2      5.1    30     11 
12/02/2012  2.7    4.5    28     14 
13/02/2012  0      4.8    29     15 
14/02/2012  0      5.9    27     13 
15/02/2012  0      5.1    27     13 
16/02/2012  0      3.2    25     14 
17/02/2012  0      4      24     12 
18/02/2012  0      6.6    26     8.5 
19/02/2012  0      3.9    28.5   8.5 
20/02/2012  0      5.5    30     9 
21/02/2012  0      5.8    31     12 
22/02/2012  0      6.2    30     13 
23/02/2012  0      6.7    23.5   13 
24/02/2012  0      5.2    27     12 
25/02/2012  0      6.6    32     11.5 
26/02/2012  0      8.1    30     13 
27/02/2012  0      5.4    30     12 
28/02/2012  0      5      30     13 
29/02/2012  0      6.5    32.5   13 
01/03/2012  0      7.9    31     11 
02/03/2012  0      6.9    32     11 
03/03/2012  0      8.5    31.5   10.5 
04/03/2012  0      6.2    34     10 
05/03/2012  0      6.5    29     10 
06/03/2012  0      5.7    30     12 
07/03/2012  0      6.5    34     13 
08/03/2012  0      7.5    34     11 
09/03/2012  0      8.2    30.5   10 
10/03/2012  0      6.3    30     8 
11/03/2012  0      7.8    32     9 
12/03/2012  0      6.5    33     10.5 
13/03/2012  0      7.5    34     11 
14/03/2012  0      6.1    30     12 
15/03/2012  0      9.6    33     12 
16/03/2012  0      8.7    31     13 
17/03/2012  0      7.5    30     14.5 
18/03/2012  0      5.9    28     15 
19/03/2012  0      7.3    25.5   13 
20/03/2012  0      9      26.5   10 
21/03/2012  0      9.3    28.5   10 
22/03/2012  0      7.1    29     10 
23/03/2012  0      9.7    31     12 
24/03/2012  0      8.2    30     12 
25/03/2012  0      9.5    31     14 
26/03/2012  0      6.5    32     14 
27/03/2012  0      9.2    31     13 
28/03/2012  0      6.9    31     13 
29/03/2012  0      7.8    31     14 
30/03/2012  0      8      32     14.5 
31/03/2012  0      10.1   34     15 
01/04/2012  0      7.6    33     15.5 
02/04/2012  0      10.6   30     16 
03/04/2012  0      8.8    30.5   14 
04/04/2012  0      10.7   32.5   13 
05/04/2012  0      10.2   32     13 
06/04/2012  0      10.1   33     13.5 
07/04/2012  0      9.3    33     14 
08/04/2012  0      9.6    35     15 
09/04/2012  0      10.3   35     15 
10/04/2012  0      10.4   35     16 
11/04/2012  0      7.4    30     16.5 
12/04/2012  0      9.4    33     14 
13/04/2012  0      8.6    31     12 
14/04/2012  0      8.6    30     12 
15/04/2012  0      9.6    30     13 
16/04/2012  0      9.4    32     12 
17/04/2012  0      11.5   33     12 
18/04/2012  0      12     32.5   15 
19/04/2012  0      11.1   32     14 
20/04/2012  0      11.5   34     14.5 
21/04/2012  0      8.9    36     15 
22/04/2012  0      12.6   36     16 
23/04/2012  0      10.9   35     18.5 
24/04/2012  0      10.3   35     18 
25/04/2012  0      8.6    33.5   19 
26/04/2012  0      8.9    34     19 
27/04/2012  0      9.7    35     18 
28/04/2012  0      8.7    32     17.5 
29/04/2012  0      8.9    32.5   17.5 
30/04/2012  0      6.8    32     19 
01/05/2012  0      11     35.5   17.5 
02/05/2012  0      6.9    32     17.5 
03/05/2012  0      11.6   32     16.5 
04/05/2012  0      8.2    32     17 
05/05/2012  0      9.2    35     20 
06/05/2012  0      10.1   30     21.5 
07/05/2012  0      9.7    36     20 
08/05/2012  0      11.1   36     18 
09/05/2012  0      11.4   33     18.5 
10/05/2012  0      11.2   34     17 
11/05/2012  0      10.1   35     16 
12/05/2012  0      11.1   31.5   17.5 
13/05/2012  0      9      31.5   18 
14/05/2012  0      9.9    32     20 
15/05/2012  0      10.5   32     21 
16/05/2012  0      12.2   36     21 
17/05/2012  0      11.6   35     22.5 
18/05/2012  0      10.2   35     18.5 
19/05/2012  0      11.5   36     18.5 
20/05/2012  0      9.7    36     18 
21/05/2012  0      11.6   36     19.5 
22/05/2012  0      11.1   36.5   22 
23/05/2012  0      9.2    36     22.5 
24/05/2012  0      12.5   36     23 
25/05/2012  0      10.9   37     24 
26/05/2012  0      10.2   36     24.5 
27/05/2012  0      10.3   36     20.5 
28/05/2012  0      11.4   39     20 
29/05/2012  0      14     39     20 
30/05/2012  0      12.8   38     20.5 
31/05/2012  0      13.2   38     20 
01/06/2012  0      10.4   35     18.5 
02/06/2012  0      11.3   33.5   19 
03/06/2012  0      10.1   33     23 
04/06/2012  0      10.1   34     22.5 
05/06/2012  0      10.2   35     22 
06/06/2012  0      11.4   36.5   22 
07/06/2012  0      9.3    36     23.5 
08/06/2012  0      10.7   36     24 
09/06/2012  0      9.4    36     25 
10/06/2012  0      9.3    35     25.5 
11/06/2012  0      9.7    36.5   25 
12/06/2012  0      10.9   36     24.5 
13/06/2012  0      11.4   36     25 
14/06/2012  0      12.4   36     25.5 
15/06/2012  0      11.8   36.5   25.5 
16/06/2012  0      13.4   38     24.5 
17/06/2012  0      12.3   38.5   25 
18/06/2012  0      10.3   36.5   26.5 
19/06/2012  0      10.6   37.5   26 
20/06/2012  0      9.9    37     27.5 
21/06/2012  0      7.4    36     26.5 
22/06/2012  0      8      35     26.5 
23/06/2012  3      7.5    33     26.5 
24/06/2012  59    Nulo    35     25 
25/06/2012  0      8.8    34     23 
26/06/2012  0      6.5    36     23 
27/06/2012  0      11     35     26 
28/06/2012  0      8.1    37     27 
29/06/2012  0      12.1   36     26 
30/06/2012  0      12.7   37     26 
01/07/2012  0      8.4    36     27 
02/07/2012  1.5    3.1    33     24 
03/07/2012  24     6      32.5   23 
04/07/2012  0      9.4    35     23 
05/07/2012  0      10.5   36     23 
06/07/2012  10.5   9.2    37     24 
07/07/2012  23     8.3    34.5   23 
08/07/2012  19.5   15     34     22.5 
09/07/2012  0      7.2    36     21 
10/07/2012  0      8      36     23.5 
11/07/2012  4      7      36     26 
12/07/2012  8.2    5.6    34     24 
13/07/2012  0      7.3    33     24 
14/07/2012  6      5.2    33     23 
15/07/2012  6      4.2    33.5   24.5 
16/07/2012  1      3.5    33     23.5 
17/07/2012  4.3    2.7    31     22 
18/07/2012  0      5.5    32.5   22 
19/07/2012  6      4.6    34.5   25 
20/07/2012  7.5    8.1    34.5   23 
21/07/2012  1.8    4.3    36     23 
22/07/2012  0      8.1    37     23 
23/07/2012  21.5   7.1    35.5   26 
24/07/2012  28     7.1    34     22 
25/07/2012  2.6    5      33     24 
26/07/2012  0      4.5    33     22.5 
27/07/2012  0      5.1    33     23 
28/07/2012  0      2.4    34     24.5 
29/07/2012  0      8.3    36     25 
30/07/2012  7.1    6.7    35     25.5 
31/07/2012  0      7.3    37     23 
01/08/2012  0      6.8    38     22.5 
02/08/2012  0      6      37.5   25 
03/08/2012  22.6   9      39     26.5 
04/08/2012  1      4.8    34     24.5 
05/08/2012  0.5    3.2    31     24.5 
06/08/2012  0      6.2    35     24.5 
07/08/2012  4      2.8    33     25 
08/08/2012  8      2.6    35     24 
09/08/2012  0      11.1   36     23.5 
10/08/2012  0      8      39     26 
11/08/2012  0      8.3    42     26 
12/08/2012  0.4    7.1    39     27 
13/08/2012  19.5   9.1    38     28 
14/08/2012  9      1.6    30     24 
15/08/2012  15     2.4    28     23.5 
16/08/2012  4.8    4.5    32     22 
17/08/2012  0      4.3    33     24 
18/08/2012  0      5.9    35     24 
19/08/2012  44     6.9    34     24 
20/08/2012  0      4.3    33     23 
21/08/2012  5      4.7    35     24 
22/08/2012  0      4.8    33.5   24 
23/08/2012  12.7   6.5    35.5   24 
24/08/2012  9.3    4      34     24 
25/08/2012  0.5    1.4    31     25 
26/08/2012  0      3.6    36     25.5 
27/08/2012  15.6   6.6    36     25.5 
28/08/2012  28     7.1    32.5   24 
29/08/2012  0      4.1    33     22.5 
30/08/2012  0      4.6    34     23 
31/08/2012  0      4.9    35     25 
01/09/2012  0.5    4.3    35     25 
02/09/2012  3.5    4.1    33     25 
03/09/2012  14.2   6.3    35     23.5 
04/09/2012  0      2.6    32.5   23.5 
05/09/2012  0      5.1    33     24.5 
06/09/2012  0      4.9    35     24 
07/09/2012  0      6.1    35     24.5 
08/09/2012  2.3    6.4    36     25 
09/09/2012  0      4.5    35.5   23.5 
10/09/2012  10.3   6.1    34     24 
11/09/2012  0      6.1    36     23 
12/09/2012  4      5.5    36     24 
13/09/2012  0      4.2    33     23 
14/09/2012  0      4.8    35     23 
15/09/2012  0      3.6    34     25 
16/09/2012  0      8.6    36.5   24 
17/09/2012  0      5.8    37     23 
18/09/2012  0      7.1    39     23.5 
19/09/2012  0      5.9    39     24 
20/09/2012  0      6.3    37     26 
21/09/2012  0      5.8    38     25.5 
22/09/2012  0      6.3    38     21.5 
23/09/2012  0      5.1    38     25 
24/09/2012  0      8.9    37.5   25.5 
25/09/2012  54.7   10.3   34.5   26 
26/09/2012  1      9.6    33     20 
27/09/2012  7.5    2.2    34     22 
28/09/2012  21     6      28     23 
29/09/2012  0.8    1.2    31     22 
30/09/2012  0      5.4    34     23 
01/10/2012  0      4.9    36     24 
02/10/2012  0      5.8    32     25 
03/10/2012  0      5.7    35.5   24 
04/10/2012  0      4.3    32     23 
05/10/2012  0      5      36     24 
06/10/2012  0      6.7    36.5   24 
07/10/2012  0      6.8    37     24 
08/10/2012  0      6.3    32     22 
09/10/2012  0      4.8    37     21 
10/10/2012  0      6.4    37     21 
11/10/2012  0      3.5    36     25 
12/10/2012  0      7.8    36.5   21 
13/10/2012  0      5.8    37     21.5 
14/10/2012  0      3.8    34     21 
15/10/2012  9.7    1.1    26     21 
16/10/2012  33.6   3.1    27     21.5 
17/10/2012  0      3.5    32     22 
18/10/2012  0      6.3    33     22 
19/10/2012  0      2.8    34     20 
20/10/2012  0      5.3    34     19 
21/10/2012  0      4      35     21 
22/10/2012  0      4.8    31.5   22.5 
23/10/2012  0      5.4    36     19.5 
24/10/2012  0      3.6    31     18 
25/10/2012  0      3.8    35     19 
26/10/2012  0      4.1    34     19 
27/10/2012  0      2.8    33     20 
28/10/2012  0      4.6    33     20 
29/10/2012  0      4.1    35     20 
30/10/2012  0      5.1    34     18.5 
31/10/2012  0      2.5    33     18 
01/11/2012  0      2.2    33     20 
02/11/2012  0      3.6    33     19 
03/11/2012  0      4.2    33.5   19 
04/11/2012  0      4.9    35     19 
05/11/2012  0      5.9    35.5   18.5 
06/11/2012  0      3.1    35     20 
07/11/2012  0      5.2    36     21 
08/11/2012  0      4.2    35     21 
09/11/2012  0      5.7    34     20 
10/11/2012  0      4.2    33     20 
11/11/2012  0      4.1    30     16 
12/11/2012  0      4.7    33     14.5 
13/11/2012  0      5.6    32.5   11 
14/11/2012  0      4.1    34     16 
15/11/2012  0      3.6    30     16 
16/11/2012  0      4.4    33.5   16 
17/11/2012  0      4.5    35     18 
18/11/2012  0      4.6    33     18.5 
19/11/2012  0      4.7    33     18 
20/11/2012  0      2.5    36     18 
21/11/2012  0      4.7    32     18 
22/11/2012  0      4.5    34     17 
23/11/2012  0      4.2    33     16.5 
24/11/2012  0      4.6    34.5   16.5 
25/11/2012  0      5.3    32.5   16.5 
26/11/2012  0      4.3    33     16.5 
27/11/2012  0      4.9    31.5   17 
28/11/2012  0      4.2    31.5   17 
29/11/2012  0      3.7    30     15 
30/11/2012  0     Nulo    33     15 
01/12/2012  0      4.4    31     16.5 
02/12/2012  0      2.4    32.5   16 
03/12/2012  0      3.9    31     16 
04/12/2012  0      4.8    32     15 
05/12/2012  0      3      32     15 
06/12/2012  0      2.1    31     15 
07/12/2012  0      2      28.5   16 
08/12/2012  0      3.7    28     17 
09/12/2012  0      3.2    29     18.5 
10/12/2012  0      5.1    27     14.5 
11/12/2012  0      4.9    27     13 
12/12/2012  0      3.7    27     13 
13/12/2012  32    Nulo    29     13 
14/12/2012  0      2.2    24     15 
15/12/2012  0      2.8    26.5   16 
16/12/2012  0      1.1    22.5   13 
17/12/2012  0      3.5    27     11 
18/12/2012  0      2.5    27     12 
19/12/2012  0      2      26     12 
20/12/2012  0      4.1    27     14 
21/12/2012  0      2.7    29     13.5 
22/12/2012  0      1.5    27     13 
23/12/2012  0      4.4    27     14 
24/12/2012  0      3.6    25     13.5 
25/12/2012  0      3.2    28     11.5 
26/12/2012  0      3.7    26     10 
27/12/2012  0      3.6    26     10 
28/12/2012  0      3.7    26     12 
29/12/2012  0      2.2    24     13.5 
30/12/2012  18     1.8    18     14 
31/12/2012  0      3      22     14 
01/01/2013  0      1.6    22     11 
02/01/2013  0      3      25     12 
03/01/2013  0.7    1.8    19.5   13 
04/01/2013  0      1.6    25     11 
05/01/2013  0      3.2    26     10 
06/01/2013  0      3.5    28     11.5 
07/01/2013  0      2.8    24.5   11 
08/01/2013  0      4.3    21     12 
09/01/2013  0      3.1    24     9.5 
10/01/2013  0      4      27     9.5 
11/01/2013  0      2      22     12.5 
12/01/2013  0      4.9    21     10 
13/01/2013  0      3.2    21     6 
14/01/2013  0      2.3    22     5.5 
15/01/2013  0      5.2    20     5 
16/01/2013  0      3.9    26     4 
17/01/2013  0      4      29.5   4 
18/01/2013  0      4.8    30     8.5 
19/01/2013  0      4.4    29.5   12 
20/01/2013  0      3.8    30     12.5 
21/01/2013  0      4.7    29     11 
22/01/2013  0      3.9    33     11 
23/01/2013  0      2.1    30.5   12 
24/01/2013  0      4.2    32.5   15 
25/01/2013  0      4.1    30     15.5 
26/01/2013  0      2.1    30     15 
27/01/2013  0      2.7    31     15.5 
28/01/2013  0      4.4    31     15 
29/01/2013  0      5.1    24     12.5 
30/01/2013  0      2.5    24     8.5 
31/01/2013  0      3.5    23     8.5 
01/02/2013  0      4.2    30.5   10 
02/02/2013  0      4.1    30     12.5 
03/02/2013  0      3.7    31.5   13 
04/02/2013  0      5.1    31     14 
05/02/2013  0      4.9    29.5   14 
06/02/2013  0      6.1    30     13.5 
07/02/2013  0      4.6    30.5   14 
08/02/2013  0      5.1    30     13.5 
09/02/2013  0      6.3    27     13 
10/02/2013  0      4.9    24     12.5 
11/02/2013  0      3.7    25     14 
12/02/2013  0      4.8    23     12 
13/02/2013  0      5.3    26     8 
14/02/2013  0      5.6    27     7.5 
15/02/2013  0      5.5    29.5   9 
16/02/2013  0      7.2    33     11.5 
17/02/2013  0      5.2    31.5   13 
18/02/2013  0      6.2    32     13 
19/02/2013  0      5.8    29     13 
20/02/2013  0      5.9    27     14.5 
21/02/2013  0      4.1    24.5   10 
22/02/2013  0      4.6    25     8.5 
23/02/2013  0      5      29.5   8 
24/02/2013  0      4.7    25.5   9 
25/02/2013  0      4.2    26     8 
26/02/2013  0      6.1    26     8.5 
27/02/2013  0      6      29.5   8.5 
28/02/2013  0      6.4    28     8.5 
01/03/2013  0      7.4    32.5   10 
02/03/2013  0      4.9    36     12 
03/03/2013  0      6.3    35.5   12 
04/03/2013  0      6.8    33     12 
05/03/2013  0      7.7    32.5   12 
06/03/2013  0      6.5    31     13.5 
07/03/2013  0      5.4    28     14.5 
08/03/2013  0      5.9    31     14.5 
09/03/2013  0      6.6    26.5   14.5 
10/03/2013  0      8.2    26     12 
11/03/2013  0      8      31.5   8 
12/03/2013  0      7.4    31     12.5 
13/03/2013  0      7.8    31.5   13 
14/03/2013  0      7.1    32     14.5 
15/03/2013  0      6.4    33     14 
16/03/2013  0      6.7    32.5   15.5 
17/03/2013  0      8.1    32.5   16 
18/03/2013  0      5.6    30     14 
19/03/2013  0      5.6    30.5   13 
20/03/2013  0      7.6    35     13.5 
21/03/2013  0      8.6    32     13.5 
22/03/2013  0      6.6    30     15.5 
23/03/2013  0      8.9    32.5   15 
24/03/2013  0      8.4    33     15 
25/03/2013  0      7.2    33     12.5 
26/03/2013  0      8.5    34.5   12 
27/03/2013  0      8.1    32.5   16 
28/03/2013  0      7.9    33     16.5 
29/03/2013  0      10.4   36     16 
30/03/2013  0      9.6    35     16.5 
31/03/2013  0      11.3   36     16 
01/04/2013  0      10.6   36     16.5 
02/04/2013  0      9.4    33     15.5 
03/04/2013  0      8.3    32.5   13.5 
04/04/2013  0      8.9    35     15 
05/04/2013  0      7.5    33     16 
06/04/2013  0      7.9    33.5   17.5 
07/04/2013  0      7.7    32     16.5 
08/04/2013  0      9.2    34     17 
09/04/2013  0      7.9    30.5   16.5 
10/04/2013  0      9.7    29.5   16 
11/04/2013  0      7.7    33     14 
12/04/2013  0      7.6    30     13.5 
13/04/2013  0      10.5   29     15.5 
14/04/2013  0      9      30     16 
15/04/2013  0      5.9    30     15.5 
16/04/2013  0      7.4    30     15.5 
17/04/2013  0      6.5    30.5   16 
18/04/2013  0      10     32     16 
19/04/2013  0      9.5    34     14 
20/04/2013  0      9.1    32.5   14 
21/04/2013  0      7.5    32.5   15.5 
22/04/2013  0      9.7    33     17.5 
23/04/2013  0      8      33.5   18 
24/04/2013  0      9.9    32.5   17 
25/04/2013  0      11.1   36     16 
26/04/2013  0      11.9   31     16 
27/04/2013  0      8.4    36     15.5 
28/04/2013  0      9.6    29.5   15 
29/04/2013  0      12.5   35.5   16.5 
30/04/2013  0      12.3   35.5   16.5 
01/05/2013  0      9.2    32     15 
02/05/2013  0      8.7    34.5   15.5 
03/05/2013  0      8      33     18 
04/05/2013  0      10.7   34     20 
05/05/2013  0      9      33     20 
06/05/2013  0      9.1    34     17.5 
07/05/2013  0      8.7    34     18.5 
08/05/2013  0      10.9   36     19 
09/05/2013  0      8.1    33     19 
10/05/2013  0      7.6    35.5   17 
11/05/2013  0      7.6    34     17.5 
12/05/2013  0      13.7   36     16.5 
13/05/2013  0      9.9    34.5   17 
14/05/2013  0      12.8   36     16 
15/05/2013  0      11.2   36     16 
16/05/2013  0      11.3   36     18 
17/05/2013  0      10.9   35.5   18 
18/05/2013  0      13     38     17 
19/05/2013  0      9.1    37     16.5 
20/05/2013  0      10.8   36     16 
21/05/2013  0      9      36.5   18 
22/05/2013  0      10.3   35.5   18 
23/05/2013  0      9.4    35     19.5 
24/05/2013  0      9.5    34     19 
25/05/2013  0      10.4   36     18.5 
26/05/2013  0      10.8   36     20 
27/05/2013  0      8.7    36     20.5 
28/05/2013  0      13.1   35.5   20 
29/05/2013  0      8.4    35     20 
30/05/2013  0      10.4   32.5   20 
31/05/2013  0      7.9    36     19 
01/06/2013  0      7.9    37     19 
02/06/2013  0      9.3    36.5   19.5 
03/06/2013  0      10.8   34     20 
04/06/2013  0      11.2   35     22 
05/06/2013  0      9.9    35.5   21 
06/06/2013  0      8.5    34     22 
07/06/2013  0      7.2    33     21 
08/06/2013  0      6.4    33     18 
09/06/2013  0      7.3    35.5   23 
10/06/2013  0      10.7   36     23 
11/06/2013  0      9.1    36     25 
12/06/2013  0      12.6   35.5   25 
13/06/2013  0      10.2   36.5   24.5 
14/06/2013  0      10.8   37     23.5 
15/06/2013  0      9.3    39     24 
16/06/2013  0      12.6   37     23.5 
17/06/2013  0      9.6    38     25.5 
18/06/2013  0      12.4   38     25.5 
19/06/2013  0      12.6   37     26 
20/06/2013  0      1.5    37     26 
21/06/2013  0      9.7    39     26 
22/06/2013  0      10.6   37     26 
23/06/2013  0      12.8   37     25.5 
24/06/2013  0      13.9   37     25 
25/06/2013  0      12.7   39     25 
26/06/2013  0      11.2   35     25.5 
27/06/2013  0      5.4    33.5   25 
28/06/2013  0      8      37     26 
29/06/2013  0      8      36     26 
30/06/2013  0      10.4   39     25.5 
01/07/2013  0      9.9    36.5   26 
02/07/2013  0      7.9    38     26.5 
03/07/2013  0      9.1    38.5   26 
04/07/2013  0      11.1   36.5   26 
05/07/2013  0      9.5    37.5   26 
06/07/2013  0      12.4   39     26.5 
07/07/2013  1.7    7.4    34.5   26 
08/07/2013  0      10.8   33     25 
09/07/2013  0      5.2    36.5   25 
10/07/2013  0      10.2   39     25.5 
11/07/2013  4.1    10     37.5   25 
12/07/2013  34.3   9      35     24.5 
13/07/2013  3      14.2   35     22 
14/07/2013  0      10     36     23 
15/07/2013  0      9.3    36     25.5 
16/07/2013  14.3   7.2    36     26 
17/07/2013  17.7   10.8   36.5   22.5 
18/07/2013  2.2    5.9    34     22 
19/07/2013  0      2.7    33     22 
20/07/2013  0      5.6    36     21.5 
21/07/2013  0      7.8    35.5   23 
22/07/2013  0      9.1    36     23.5 
23/07/2013  33     7.9    36.5   24.5 
24/07/2013  0      8.3    36     24 
25/07/2013  18     8.9    36.5   24 
26/07/2013  0      10     37     24 
27/07/2013  0      6.3    38.5   23.5 
28/07/2013  0      9.7    36     26 
29/07/2013  0      9.6    38     25.5 
30/07/2013  0      6      37     25 
31/07/2013  20     7.9    36.5   24 
01/08/2013  0      7.8    35     21 
02/08/2013  0      9.9    36     23 
03/08/2013  6.2    5.3    38.5   26 
04/08/2013  0      2      38     23 
05/08/2013  0.3    6.6    33.5   23 
06/08/2013  1      3.6    37     24.5 
07/08/2013  0      6.6    38     24.5 
08/08/2013  0      7.6    38.5   25 
09/08/2013  8.3    7.6    36.5   26 
10/08/2013  0      6.8    35.5   23.5 
11/08/2013  2      5.8    38     24.5 
12/08/2013  16.5   7.3    33.5   24 
13/08/2013  0      4.1    34.5   23 
14/08/2013  0      6.1    38     23 
15/08/2013  8.5    6.6    37.5   25 
16/08/2013  0      8.1    37.5   25 
17/08/2013  0      7.8    40     25 
18/08/2013  0      7      39     26 
19/08/2013  0      5.7    39     27 
20/08/2013  0      8.5    37     26 
21/08/2013  44     5.1    39     26 
22/08/2013  0      4      35     21.5 
23/08/2013  0.3    5.5    34.5   22 
24/08/2013  0      6.3    34     25 
25/08/2013  0      4.3    36     25 
26/08/2013  0      5.4    37     26 
27/08/2013  65     9.4    36     26 
28/08/2013  51     13.4   32     23 
29/08/2013  0      3.8    34     24.5 
30/08/2013  60.3   3.6    33.5   24 
31/08/2013  0      6.1    33     21 
01/09/2013  0      6.1    34.5   23 
02/09/2013  23.9   3.4    32     25.5 
03/09/2013  27.2   4.9    33     22.5 
04/09/2013  1.3    5.6    32.5   22.5 
05/09/2013  9.2    8.1    33     23 
06/09/2013  1.3    6.4    31.5   22 
07/09/2013  14.6   5.3    33     24 
08/09/2013  23.6   5.3    33     23 
09/09/2013  2.7    4.1    31.5   22.5 
10/09/2013  0      4.4    32     22.5 
11/09/2013  0      5.6    35     24 
12/09/2013  0.5    7.1    36     24.5 
13/09/2013  0      8.5    37     24.5 
14/09/2013  0      5      37     24 
15/09/2013  0      5.5    39.5   26 
16/09/2013  0      8.1    38     26 
17/09/2013  3.7    5.4    30     27.5 
18/09/2013  64     3.8    28.5   24.5 
19/09/2013  154.9  6.2    28     23.5 
20/09/2013  0     Nulo    31     23.5 
21/09/2013  0      4      34.5   23.5 
22/09/2013  0      4      34.5   24.5 
23/09/2013  0      5.4    36     24.5 
24/09/2013  0      5.3    34     25 
25/09/2013  0      6.3    36     24.5 
26/09/2013  0      4.4    35     24.5 
27/09/2013  0      6.7    32.5   24.5 
28/09/2013  0      6.3    34     25.5 
29/09/2013  0      4      34.5   20 
30/09/2013  0      7.2    31.5   21 
01/10/2013  0      4.9    35     21.5 
02/10/2013  0      6.4    36     22.5 
03/10/2013  0      6.8    35     22 
04/10/2013  0      6.1    35     21 
05/10/2013  0      5.6    35     23 
06/10/2013  0      5.2    36     23 
07/10/2013  0      5.3    36.5   23 
08/10/2013  0      5.9    37.5   23 
09/10/2013  3.3    6.7    36.5   23 
10/10/2013  0      5.2    35     23.5 
11/10/2013  0      4.5    35     22.5 
12/10/2013  0      4.4    33     21 
13/10/2013  0      4.7    31     19 
14/10/2013  0      1.9    33     24.5 
15/10/2013  0      3      33     25 
16/10/2013  0      4.5    35     23 
17/10/2013  0      5.6    35     21.5 
18/10/2013  0      7.8    36     20 
19/10/2013  0      4.3    37     18 
20/10/2013  0      7.4    35.5   19 
21/10/2013  0      7.3    33.5   19 
22/10/2013  0      5.1    36.5   19.5 
23/10/2013  0      5.9    36     19.5 
24/10/2013  0      3.7    36.5   19 
25/10/2013  0      6.3    37     22.5 
26/10/2013  0      5.5    37     18.5 
27/10/2013  0      6      36     18.5 
28/10/2013  0      5.3    35.5   19 
29/10/2013  0      4.5    34     20.5 
30/10/2013  4      3.9    29     23 
